ZE-Nr,ZE-Name,WKA-Name,WKA-Typ,ZE-Standort,ZE-Kanton,ZE-Status,Funktion: Turbinieren,Funktion: Pumpen,QTurbine [m3/sec],Inst. Turbinenleistung,"(""LTURBINE[MW]""/100)*""PROZ.ANTEILCH""",Max. Leistung ab Generator,"(""LGENERATOR[MW]""/100)*""PROZ.ANTEILCH""",Prod. ohne Umwälzbetrieb - W.,Prod. ohne Umwälzbetrieb - S.,Prod. ohne Umwälzbetrieb - J.,"(""PROD.OHNEUMWÄLZBETRIEB-J.""/100)*""PROZ.ANTEILCH""",QPumpe [m3/sec],Inst. Pumpenleistung,Leistungsaufnahme Motoren,Bedarf ohne Umwälzb. - W.,Bedarf ohne Umwälzb. - S.,Bedarf ohne Umwälzb. - J.,ZE-Erste Inbetriebnahme,ZE-Letzte Inbetriebnahme,ZE-Kote,Proz. Anteil CH,Kantonsanteil: Kanton Name (1),Kantonsanteil (1),Kantonsanteil: Kanton Name (2),Kantonsanteil (2),Kantonsanteil: Kanton Name (3),Kantonsanteil (3),Genutzte Gewässer - Name (1),Genutzte Gewässer - Name (2),Genutzte Gewässer - Name (3),Genutzte Gewässer - Name (4),Genutzte Gewässer - Name (5),Genutzte Gewässer - Name (6),Genutzte Gewässer - Name (7),"(""LGENERATOR[MW]""/100)*""PROZ.ANTEILCH""",Genutzte Gewässer - Name (8),Genutzte Gewässer - Name (9),Genutzte Gewässer - Name (10),Genutzte Gewässer - Name (11),Genutzte Gewässer - Name (12),Ersatzenergie: Richtung (1),Ersatzenergie: Partner (1),Ersatzenergie: Richtung (2),Ersatzenergie: Partner (2),Ersatzenergie: Richtung (3),Ersatzenergie: Partner (3),Ersatzenergie: Richtung (4),Ersatzenergie: Partner (4),Ersatzenergie: Richtung (5),Ersatzenergie: Partner (5),Ersatzenergie :Richtung (6),Ersatzenergie: Partner (6),Ersatzenergie: Richtung (7),Ersatzenergie: Partner (7),Ersatzenergie: Richtung (8),Ersatzenergie: Partner (8),Ersatzenergie: Richtung (9),Ersatzenergie: Partner (9),Ersatzenergie: Richtung (10),Ersatzenergie: Partner (10),Ersatzenergie: Richtung (11),Ersatzenergie: Partner (11),Ersatzenergie: Richtung (12),Ersatzenergie: Partner (12),Rechte - Name (1),Rechte - Endjahr (1),Rechte - Name (2),Rechte - Endjahr (2),Rechte - Name (3),Rechte - Endjahr (3),Rechte - Name (4),Rechte - Endjahr (4),Rechte - Name (5),Rechte - Endjahr (5),Rechte - Name (6),Rechte - Endjahr (6),Rechte - Name (7),Rechte - Endjahr (7),Rechte - Name (8),Rechte - Endjahr (8),Rechte - Name (9),Rechte - Endjahr (9),Rechte - Name (10),Rechte - Endjahr (10),Bemerkung (1),Bemerkung (2),Bemerkung (3),Bemerkung (4),Bemerkung (5),Bemerkung (6),Bemerkung (7),Bemerkung (8),Bemerkung (9),Bemerkung (10),ZE-Koordinaten unscharf (Ost),ZE-Koordinaten unscharf (Nord)
201500,Meiringen 1,Meiringen 1,L,Meiringen,Bern,im Normalbetrieb,T,,0.6,1,1,0.93,0.93,2.1,3.5,5.6,5.6,0,0,0,0,0,0,1889,1946,632.5,100,Bern,100,,,,,Alpbach,Dorfbach/Goldernbach,Milibach,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657590,175560
201600,Schattenhalb 2,Schattenhalb 2,L,Schattenhalb,Bern,stillgelegt,T,,1,1.9,1.9,1.6,1.6,2,10,12,12,0,0,0,0,0,0,1927,1927,817.14,100,Bern,100,,,,,Reichenbach,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2016,,,,,,,,,,,,,,,,,,, stillgelegt - stillgelegt - stillgelegt - stillgelegt - stillgelegt - stillgelegt - stillgelegt - stillgelegt - stillgelegt - stillgelegt - stillgelegt - stillgelegt- stillgelegt,,,,,,,,,,656960,174040
201700,Schattenhalb 1+,Schattenhalb 1+,L,Schattenhalb,Bern,im Bau,T,,1.3,2.3,2.3,2.72,2.72,0.7,6,6.7,6.7,0,0,0,0,0,0,2017,,597.1,100,Bern,100,,,,,Rychenbach,,,,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2097,,,,,,,,,,,,,,,,,,,- Die Inbetriebnahme der Zentrale Schattenhalb 1+ ist im Jahre 2017 geplant,- Die Konzessdauer läuft bis 2097 bei der Inbetriebnahme im Jahre 2017,- Schattenhalb 1 wurde ertsmals 1907 in Betrieb genommen,,,,,,,,657070,174500
201750,Schattenhalb 3,Schattenhalb 3,L,Schattenhalb,Bern,im Normalbetrieb,T,,2.8,9.7,9.7,9.7,9.7,16.2,32.4,48.6,48.6,0,0,0,0,0,0,2010,,601,100,Bern,100,,,,,Reichenbach,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657030,174520
201800,Giessbach,Giessbach,L,Brienz,Bern,im Normalbetrieb,T,,0.3,0.9,0.9,0.9,0.9,1.5,3,4.5,4.5,0,0,0,0,0,0,1949,2005,567.5,100,Bern,100,,,,,Giessbach,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644350,176080
201900,Isch,Grindelwald,S,Grindelwald,Bern,im Normalbetrieb,T,,0.4,1.4,1.4,1.4,1.4,1.5,4.5,6,6,0,0,0,0,0,0,1960,1960,1050,100,Bern,100,,,,,Bachsee,Mühlebach,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646840,164090
202000,Lütschental,Burglauenen-Lütschental,L,Lütschental,Bern,im Normalbetrieb,T,,8.5,11.9,11.9,11.9,11.9,15.6,46.8,62.4,62.4,0,0,0,0,0,0,1908,2011,726.46,100,Bern,100,,,,,Schwarze Lütschine,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639500,165250
202100,Stechelberg,Stechelberg,L,"Lauterbrunnen, Stechelberg",Bern,im Normalbetrieb,T,,2,4.3,4.3,4.3,4.3,5.1,16.6,21.7,21.7,0,0,0,0,0,0,1905,1979,907.1,100,Bern,100,,,,,Sefinen-Lütschine,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635380,154930
202125,Geissbrunnen,Saxettal-Geissbrunnen,L,Saxeten,Bern,im Normalbetrieb,T,,0.23,0.48,0.48,0.43,0.43,0.6,1.4,2,2,0,0,0,0,0,0,1999,1999,1166.2,100,Bern,100,,,,,Quelle Nessleren,Quelle Rosslegi,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andere Rechtsgrundlage,9999,,,,,,,,,,,,,,,,,,,- Trinkwasserkraftwerk,,,,,,,,,,629970,164200
202150,Kammri,Saxettal-Kammri,L,Wilderswil,Bern,im Normalbetrieb,T,,0.25,0.8,0.8,0.74,0.74,1.3,2.7,4,4,0,0,0,0,0,0,1998,1998,702.18,100,Bern,100,,,,,Quelle Geissbrunnen,Quelle Gibelbach,Quelle Innerfeld,Quelle Nessleren,Quelle Rosslegi,Quelle Staldengräbli,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andere Rechtsgrundlage,9999,,,,,,,,,,,,,,,,,,,- Trinkwasserkraftwerk,,,,,,,,,,631750,167460
202200,Interlaken,Interlaken,L,"Interlaken, Kanal",Bern,im Normalbetrieb,T,,30,0.82,0.82,0.8,0.8,2.8,2.3,5.1,5.1,0,0,0,0,0,0,1894,1932,562.9,100,Bern,100,,,,,Aare,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631480,170240
202275,Interlaken-Dotierzentrale,Interlaken,L,Unterseen,Bern,im Normalbetrieb,T,,15,0.3,0.3,0.3,0.3,0.6,0.6,1.2,1.2,0,0,0,0,0,0,1996,1996,560.2,100,Bern,100,,,,,Aare,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631230,170170
202290,Kandersteg (Eggeschwand),Kandersteg (Eggeschwand),L,"Kandersteg, Eggeschwand",Bern,im Normalbetrieb,T,,0.8,2.1,2.1,2.1,2.1,1.73,8.76,10.49,10.49,0,0,0,0,0,0,2009,,1198,100,Bern,100,,,,,Alpbach,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617010,147110
202300,Kandersteg (Zilfuri),Kandersteg (Zilfuri),L,"Kandersteg, Zilfuri",Bern,im Normalbetrieb,T,,0.6,1.09,1.09,1.1,1.1,3.35,3.53,6.88,6.88,0,0,0,0,0,0,1903,1958,1282.12,100,Bern,100,,,,,Chalberspiessenquellen,Holzspicherquellen,Öschibach,Weissbachquellen,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2076,,,,,,,,,,,,,,,,,,,- Trinkwasserkraftwerk,,,,,,,,,,619420,149400
202350,Kandersteg (Dorf),Kandersteg (Dorf),L,"Kandersteg, Dorf",Bern,im Normalbetrieb,T,,1.2,1.03,1.03,1,1,2.28,2.78,5.06,5.06,0,0,0,0,0,0,1996,2012,1174.74,100,Bern,100,,,,,Chalberspiessenquellen,Holzspicherquellen,Öschibach,Weissbachquellen,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618160,149430
202400,Kandergrund,Kandergrund,L,Inner-Kandergrund,Bern,im Normalbetrieb,T,,7.3,19,19,18.8,18.8,27.7,71.25,98.95,98.95,0,0,0,0,0,0,1911,1991,853.15,100,Bern,100,,,,,Kander,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616940,154630
202425,Engstligenalp,Engstligenalp,L,"Adelboden, Engstligenalp",Bern,im Normalbetrieb,T,,1.35,0.6,0.6,0.6,0.6,0.3,1.7,2,2,0,0,0,0,0,0,1937,2011,1868.84,100,Bern,100,,,,,Engstlige,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609460,144210
202430,"Spiggenbach, Reichenbach",WKA Spiggenbach Reichenbach,L,"Reichenbach, Losplatte",Bern,im Bau,T,,1.55,2.75,2.75,2.75,2.75,3,7,10,10,0,0,0,0,0,0,2017,,960,100,Bern,100,,,,,Spiggenbach,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2096,,,,,,,,,,,,,,,,,,,- Die Inbetriebnahme ist im Jahre 2017 geplant,,,,,,,,,,622690,158440
202450,"Moosweid, Adelboden",Moosweid,L,"Adelboden, Moosweid",Bern,im Normalbetrieb,T,,0.15,0.35,0.35,0.36,0.36,0.5,1.3,1.8,1.8,0,0,0,0,0,0,1903,2014,1194.6,100,Bern,100,,,,,Ahorniquellen,Louenenbach,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610610,149430
202475,Engstlige,Engstlige,L,Adelboden,Bern,im Normalbetrieb,T,,1.5,0.5,0.5,0.5,0.5,1,1.5,2.5,2.5,0,0,0,0,0,0,1996,1996,1135.2,100,Bern,100,,,,,Engstlige,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611060,150630
202500,Spiez,Spiez,L,Längmad am Thunersee,Bern,im Normalbetrieb,T,,32,18.66,18.66,18.4,18.4,42.9,61.74,104.64,104.64,0,0,0,0,0,0,1899,1986,561.9,100,Bern,100,,,,,Kander,Simme,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2067,,,,,,,,,,,,,,,,,,,- Ausbauwassermenge:	Bezogen auf die Zuleitungskapazität ab Weiher Spiezmoos       ,- Nutzungsdauer: 		Bezogen auf die Zuleitungskapazität ab Simme- und Kanderwehr bis Weiher Spiezmoos;                                              ,        			12 m3/s + 14 m3/s = 26 m3/s,                         ,                              ,,,,,,617310,171740
202520,"Färmelbach, St. Stephan","Färmelbach, St. Stephan",L,"St. Stephan, Matten",Bern,im Normalbetrieb,T,,0.9,2.09,2.09,1.75,1.75,1.5,7.5,9,9,0,0,0,0,0,0,2016,,1023,100,Bern,100,,,,,Albristbach,Färmelbach,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598540,149240
202530,"Simelemoos, St. Stephan",KW Simelemoos,L,St. Stephan,Bern,im Normalbetrieb,T,,9.5,0.35,0.35,0.35,0.35,0.65,0.8,1.45,1.45,0,0,0,0,0,0,2016,,996.47,100,Bern,100,,,,,Simme,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597300,150380
202550,Laubegg (Garstatt),Laubegg (Garstatt),L,"Boltigen, Garstatt",Bern,im Normalbetrieb,T,,12,2.6,2.6,2.6,2.6,2.8,9.9,12.7,12.7,0,0,0,0,0,0,2016,,857.4,100,Bern,100,,,,,Simme,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595600,159650
202560,Weissenburg,Berner Green Power GmbH,L,Weissenburg,Bern,im Normalbetrieb,T,,0.9,0.37,0.37,0.36,0.36,0.86,1.2,2.06,2.06,0,0,0,0,0,0,1898,1999,856,100,Bern,100,,,,,Buuschebach,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601950,168410
202600,Klusi,Klusi,S,Erlenbach,Bern,im Normalbetrieb,T,,0.18,1.3,1.3,1.3,1.3,2,1.64,3.64,3.64,0,0,0,0,0,0,1946,1996,796.45,100,Bern,100,,,,,Hinterstockensee,Oberstockensee,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andere Rechtsgrundlage,9999,,,,,,,,,,,,,,,,,,,- Rechtsgrundlage: Betriebsbewilligung an Privatgewässer       ,- Ersatz alte Zentrale Klusi im Jahr 1996                                        ,,,,,,,,,608390,168080
202700,Erlenbach,Erlenbach,L,Erlenbach,Bern,im Normalbetrieb,T,,6.4,18,18,18,18,12.1,40.7,52.8,52.8,0,0,0,0,0,0,1959,2005,683.5,100,Bern,100,,,,,Ägelsee,Filderich,Kirel,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608380,167300
202800,Simmenfluh,Simmenfluh,L,Simmenfluh (Wimmis),Bern,im Normalbetrieb,T,,22,9,9,9,9,13.7,31.8,45.5,45.5,0,0,0,0,0,0,1962,2000,632.15,100,Bern,100,,,,,Simme,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614080,169080
202900,AAREwerk 62 Thun,AAREwerk 62 Thun,L,Thun,Bern,im Normalbetrieb,T,,125,6.32,6.32,6.2,6.2,10.84,21.2,32.04,32.04,0,0,0,0,0,0,1962,1962,557.8,100,Bern,100,,,,,Aare,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613350,178960
203000,AAREwerk 94 Thun,AAREwerk 94 Thun,L,Thun,Bern,im Normalbetrieb,T,,49.65,2.83,2.83,2.8,2.8,2.8,5.6,8.4,8.4,0,0,0,0,0,0,1917,1994,547.19,100,Bern,100,,,,,Aare,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),9999,,,,,,,,,,,,,,,,,,,- Ersatz Zentrale Thun-Aare 1917 am Gewerbekanal im Jahr 1994                                ,,,,,,,,,,613880,178960
203100,Thun (Eidg.),Thun (Eidg.),L,"Thun, Kanal (Uttigenstr.)",Bern,im Normalbetrieb,T,,6,0.44,0.44,0.35,0.35,1.1,0.9,2,2,0,0,0,0,0,0,1901,1937,553.8,100,Bern,100,,,,,"Aare, Gewerbekanal",,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613450,178950
203200,Blumenstein,Blumenstein,L,Blumenstein,Bern,im Normalbetrieb,T,,0.1,0.64,0.64,0.64,0.64,1.2,2.2,3.4,3.4,0,0,0,0,0,0,1918,1990,768.8,100,Bern,100,,,,,Quellgebiet Blattenheid,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2045,,,,,,,,,,,,,,,,,,,-Trinkwasserkraftwerk,,,,,,,,,,605710,175170
203300,Matte,Matte,L,"Bern, Matte",Bern,im Normalbetrieb,T,,40,1.16,1.16,1.16,1.16,3.8,3,6.8,6.8,0,0,0,0,0,0,1891,1986,495,100,Bern,100,,,,,Aare,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601380,199490
203350,Engehalde-Dotierzentrale,Felsenau,L,Engehalde,Bern,im Normalbetrieb,T,,16,0.44,0.44,0.42,0.42,1.3,1.3,2.6,2.6,0,0,0,0,0,0,1998,1998,493.04,100,Bern,100,,,,,Aare,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600460,201640
203400,Felsenau,Felsenau,L,Felsenau,Bern,im Normalbetrieb,T,,100,11.5,11.5,11.5,11.5,28,45,73,73,0,0,0,0,0,0,1909,1989,481.3,100,Bern,100,,,,,Aare,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600060,201930
203500,Mühleberg,Mühleberg,L,Buttenried,Bern,im Normalbetrieb,T,,291,44.59,44.59,40,40,52.75,107.05,159.8,159.8,0,0,0,0,0,0,1920,1965,470.5,100,Bern,100,,,,,Aare,Wohlensee,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588270,202020
203600,Innergsteig,Sanetsch,S,Innergsteig,Bern,im Normalbetrieb,T,,2.5,18,18,18,18,9,26,35,35,0,0,0,0,0,0,1966,1966,1196.5,100,Bern,72.6,Wallis,27.4,,,Saane,Speicher Sanetsch,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587640,136130
203650,Lauenen (Louibach),Lauenen (Louibach),L,Lauenen bei Gstaad,Bern,im Normalbetrieb,T,,3.5,0.9,0.9,0.9,0.9,0.65,2.55,3.2,3.2,0,0,0,0,0,0,2014,,1195,100,Bern,100,,,,,Louibach,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590750,141430
203700,Gsteig,Gsteig,L,Gsteig b.Gstaad,Bern,im Normalbetrieb,T,,2,0.72,0.72,0.72,0.72,0.85,1.7,2.55,2.55,0,0,0,0,0,0,1948,2015,1178,100,Bern,100,,,,,Reuschbach,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586920,137110
203750,Gérignoz (La Pontia),Gérignoz - La Pontia,L,"Château d'Oex, Gérignoz",Waadt,im Normalbetrieb,T,,0.19,0.45,0.45,0.45,0.45,1.41,0.94,2.35,2.35,0,0,0,0,0,0,1996,1996,934.9,100,Waadt,100,,,,,Sources privées,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andere Rechtsgrundlage,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579000,146920
203800,Montbovon,Montbovon,L,Montbovon,Freiburg,im Normalbetrieb,T,,40,31,31,28.5,28.5,18,61,79,79,0,0,0,0,0,0,1896,1972,778.5,100,Freiburg,22.32,Waadt,77.68,,,La Sarine,Lac du Vernex,,,,,,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570030,148590
203900,Lessoc,Lessoc,L,Lessoc,Freiburg,im Normalbetrieb,T,,41,8.56,8.56,8,8,6,16,22,22,0,0,0,0,0,0,1973,1973,750.8,100,Freiburg,100,,,,,La Sarine,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570420,150600
203950,Sainte - Anne,Sainte - Anne,L,Grandvillard,Freiburg,im Normalbetrieb,T,,1.12,2.9,2.9,2.9,2.9,2,4.5,6.5,6.5,0,0,0,0,0,0,1999,1999,784,100,Freiburg,100,,,,,Ruisseau des Marais,Torrent de Plan Rion,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verfügungsrecht,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573100,153820
204000,Jaun,Jaun,L,Jaun,Freiburg,im Normalbetrieb,T,,2.4,0.38,0.38,0.36,0.36,0.99,1.33,2.32,2.32,0,0,0,0,0,0,1982,1982,966.78,100,Freiburg,100,,,,,Jaunbach,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587030,161930
204050,Charmey (La Tzintre),Charmey (La Tzintre),L,"Charmey, La Tzintre",Freiburg,im Normalbetrieb,T,,10,0.86,0.86,0.86,0.86,1.2,2.3,3.5,3.5,0,0,0,0,0,0,2012,,855,100,Freiburg,100,,,,,La Jogne,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579950,162320
204100,Charmey (Le Perré),Charmey (La Perré),L,"Charmey, Le Perré",Freiburg,im Normalbetrieb,T,,12,5.27,5.27,4.5,4.5,7.3,11.6,18.9,18.9,0,0,0,0,0,0,1893,1982,803.02,100,Freiburg,100,,,,,La Jogne,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578790,162630
204200,Broc,Broc,L,Broc,Freiburg,im Normalbetrieb,T,,26,25,25,23.5,23.5,19,51,70,70,0,0,0,0,0,0,1921,1988,682,100,Freiburg,100,,,,,La Jogne,Montsalvens (B.d'accumulation),,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574770,162120
204300,Rossens-Centrale de dotation 1,Am.de dotation d'Hauterive 1,L,Rossens,Freiburg,im Normalbetrieb,T,,1,0.7,0.7,0.67,0.67,0,1.63,1.63,1.63,0,0,0,0,0,0,1976,1976,612,100,Freiburg,100,,,,,La Sarine,Lac de la Gruyère,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2055,,,,,,,,,,,,,,,,,,,- La centrale est hors fonction pendant l'hiver,,,,,,,,,,575060,174130
204350,Rossens-Centr. de dotation 2,Am. de dotation d'Hauterive 2,L,Rossens,Freiburg,im Normalbetrieb,T,,2.5,1.7,1.7,1.6,1.6,5.5,5.5,11,11,0,0,0,0,0,0,2005,2005,610,100,Freiburg,100,,,,,La Sarine,Lac de la Gruyère,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575060,174130
204400,Hauterive,Hauterive,S,Hauterive,Freiburg,im Normalbetrieb,T,,75,60,60,57.5,57.5,75,130,205,205,0,0,0,0,0,0,1902,1948,573.34,100,Freiburg,100,,,,,La Sarine,Lac de la Gruyère,,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576240,179800
204500,Maigrauge-Centrale de dotation,Am.de dotation d'Oelberg,L,"Fribourg, Maigrauge",Freiburg,im Normalbetrieb,T,,4,0.58,0.58,0.55,0.55,2,2,4,4,0,0,0,0,0,0,1870,1952,546.5,100,Freiburg,100,,,,,La Sarine,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579180,183100
204600,Oelberg,Oelberg,S,"Fribourg, Oelberg",Freiburg,im Normalbetrieb,T,,99,18.3,18.3,16.9,16.9,17,33,50,50,0,0,0,0,0,0,1910,1980,543.25,100,Freiburg,100,,,,,La Sarine,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579290,183430
204650,Weissenburg_Del,Berner Green Power GmbH,L,Weissenburg_Del,Bern,stillgelegt,T,,0.9,0.37,0.37,0.36,0.36,0.86,1.2,2.06,2.06,0,0,0,0,0,0,1898,1999,856,100,Bern,100,,,,,Buuschebach,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601950,168410
204700,Schiffenen,Schiffenen,S,Schiffenen,Freiburg,im Normalbetrieb,T,,135,71,71,52,52,60,79,139,139,0,0,0,0,0,0,1964,1964,497,100,Bern,4,Freiburg,96,,,La Sarine,Lac de Schiffenen,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581370,192430
204800,Niederried,Niederried,L,"Niederried, Radelfingen",Bern,im Normalbetrieb,T,,170,15,15,14.4,14.4,33.3,47.9,81.2,81.2,0,0,0,0,0,0,1963,1992,459.05,100,Bern,100,,,,,Aare,Niederriedsee,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2043,,,,,,,,,,,,,,,,,,,- Nutzungsdauer: 	Bezogen auf die Ausbauwassermenge von 215 m3/s  (Zentralen Niederried und Kallnach),- Ersatzenergie: 	Siehe Zentrale Aarberg                            ,                         ,,,,,,,,584980,205810
