ZE-Nr,ZE-Name,WKA-Name,WKA-Typ,ZE-Standort,ZE-Kanton,ZE-Status,Funktion: Turbinieren,Funktion: Pumpen,QTurbine [m3/sec],Inst. Turbinenleistung,"(""LTURBINE[MW]""/100)*""PROZ.ANTEILCH""",Max. Leistung ab Generator,"(""LGENERATOR[MW]""/100)*""PROZ.ANTEILCH""",Prod. ohne Umwälzbetrieb - W.,Prod. ohne Umwälzbetrieb - S.,Prod. ohne Umwälzbetrieb - J.,"(""PROD.OHNEUMWÄLZBETRIEB-J.""/100)*""PROZ.ANTEILCH""",QPumpe [m3/sec],Inst. Pumpenleistung,Leistungsaufnahme Motoren,Bedarf ohne Umwälzb. - W.,Bedarf ohne Umwälzb. - S.,Bedarf ohne Umwälzb. - J.,ZE-Erste Inbetriebnahme,ZE-Letzte Inbetriebnahme,ZE-Kote,Proz. Anteil CH,Kantonsanteil: Kanton Name (1),Kantonsanteil (1),Kantonsanteil: Kanton Name (2),Kantonsanteil (2),Kantonsanteil: Kanton Name (3),Kantonsanteil (3),Genutzte Gewässer - Name (1),Genutzte Gewässer - Name (2),Genutzte Gewässer - Name (3),Genutzte Gewässer - Name (4),Genutzte Gewässer - Name (5),Genutzte Gewässer - Name (6),Genutzte Gewässer - Name (7),"(""LGENERATOR[MW]""/100)*""PROZ.ANTEILCH""",Genutzte Gewässer - Name (8),Genutzte Gewässer - Name (9),Genutzte Gewässer - Name (10),Genutzte Gewässer - Name (11),Genutzte Gewässer - Name (12),Ersatzenergie: Richtung (1),Ersatzenergie: Partner (1),Ersatzenergie: Richtung (2),Ersatzenergie: Partner (2),Ersatzenergie: Richtung (3),Ersatzenergie: Partner (3),Ersatzenergie: Richtung (4),Ersatzenergie: Partner (4),Ersatzenergie: Richtung (5),Ersatzenergie: Partner (5),Ersatzenergie :Richtung (6),Ersatzenergie: Partner (6),Ersatzenergie: Richtung (7),Ersatzenergie: Partner (7),Ersatzenergie: Richtung (8),Ersatzenergie: Partner (8),Ersatzenergie: Richtung (9),Ersatzenergie: Partner (9),Ersatzenergie: Richtung (10),Ersatzenergie: Partner (10),Ersatzenergie: Richtung (11),Ersatzenergie: Partner (11),Ersatzenergie: Richtung (12),Ersatzenergie: Partner (12),Rechte - Name (1),Rechte - Endjahr (1),Rechte - Name (2),Rechte - Endjahr (2),Rechte - Name (3),Rechte - Endjahr (3),Rechte - Name (4),Rechte - Endjahr (4),Rechte - Name (5),Rechte - Endjahr (5),Rechte - Name (6),Rechte - Endjahr (6),Rechte - Name (7),Rechte - Endjahr (7),Rechte - Name (8),Rechte - Endjahr (8),Rechte - Name (9),Rechte - Endjahr (9),Rechte - Name (10),Rechte - Endjahr (10),Bemerkung (1),Bemerkung (2),Bemerkung (3),Bemerkung (4),Bemerkung (5),Bemerkung (6),Bemerkung (7),Bemerkung (8),Bemerkung (9),Bemerkung (10),ZE-Koordinaten unscharf (Ost),ZE-Koordinaten unscharf (Nord)
100625,"St. Joseph, Obersaxen",Kraftwerk Tschar,L,"Obersaxen, St. Joseph",Graubünden,im Bau,T,,1.2,4.26,4.26,4.26,4.26,2.4,10.1,12.5,12.5,0,0,0,0,0,0,2017,,1203.3,100,Graubünden,100,,,,,Tscharbach,,,,,,,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2097,,,,,,,,,,,,,,,,,,,- Die Inbetriebnahme ist im Jahre 2017 vorgesehen,,,,,,,,,,724790,178750
100700,Mutteins,Brigels-Tavanasa,L,Tavanasa,Graubünden,im Normalbetrieb,T,,3,12.5,12.5,12,12,12.9,41.4,54.3,54.3,0,0,0,0,0,0,1960,1960,776,100,Graubünden,100,,,,,Dardinerbach,Flem,,,,,,12,,,,,,A,Repower AG (Zentrale Waltensburg),,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2040,,,,,,,,,,,,,,,,,,,- Ersatzenergie:	Abgabe an Repower AG als Realersatz für das stillgelegte Kraftwerk Waltensburg  ,                                   ,,,,,,,,,724760,179840
100800,Ladral,Ladral,L,Waltensburg,Graubünden,im Normalbetrieb,T,,0.9,5.1,5.1,5.6,5.6,3.47,12.06,15.53,15.53,0,0,0,0,0,0,1973,1973,744,100,Graubünden,100,,,,,Ual de Ladral,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728320,181400
100900,Ilanz 1,Ilanz 1 (Stufe Tavanasa),L,Ilanz,Graubünden,im Normalbetrieb,T,,50,34.5,34.5,33.8,33.8,50.5,86.7,137.2,137.2,0,0,0,0,0,0,1990,1990,702,100,Graubünden,100,,,,,Vorderrhein,,,,,,,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2071,,,,,,,,,,,,,,,,,,,- Zentralen Ilanz 1 und Ilanz 2 in einem Gebäude              ,,,,,,,,,,734150,181900
101000,Ilanz 2,Ilanz 2 (Stufe Panix (Pigniu)),S,Ilanz,Graubünden,im Normalbetrieb,T,,8,49.5,49.5,48.5,48.5,23.2,116.4,139.6,139.6,0,0,0,0,0,0,1992,1992,702,100,Graubünden,100,,,,,Ranasca Nord und Süd,Speicher Panix (Pigniu),Ual da Schmuer,Ual da Siat,,,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2071,,,,,,,,,,,,,,,,,,,- Zentralen Ilanz 1 und Ilanz 2 in einem Gebäude              ,,,,,,,,,,734150,181900
101100,Zervreila,Seekraftwerk Zervreila,S,"Vals, Staumauer Zervreila",Graubünden,im Normalbetrieb,T,P,20,22,22,20,20,18.1,7.6,25.7,25.7,7,5.8,7,0,4.4,4.4,1958,1999,1735,100,Graubünden,100,,,,,Ampervreila,Fruntbach,Guraletsch,Peilerbach,Stausee Zervreila,Valser Rhein,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2037,,,,,,,,,,,,,,,,,,,- Ampervreila und Peilerbach werden nur im Sommer genutzt (Zubringer-Pumpbetrieb)       ,                                         ,,,,,,,,,728820,160010
101200,Safien Platz,Safien Platz,S,Safien Platz,Graubünden,im Normalbetrieb,T,,23,90,90,88,88,93.7,68.6,162.3,162.3,0,0,0,0,0,0,1957,1997,1296.5,100,Graubünden,100,,,,,Ampervreila,Peilerbach,Rabiusa,Valatschbach,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743620,171340
101300,Rothenbrunnen (KWZ),Rothenbrunnen,S,Rothenbrunnen,Graubünden,im Normalbetrieb,T,,21.9,135,135,127,127,159.5,171.2,330.7,330.7,0,0,0,0,0,0,1958,2011,622.4,100,Graubünden,100,,,,,Carnusa,Rabiusa,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751200,181320
101400,Realta,Rabiusa-Realta,L,Rothenbrunnen,Graubünden,im Normalbetrieb,T,,6,26,26,26,26,13.9,24.9,38.8,38.8,0,0,0,0,0,0,1949,2004,622,100,Graubünden,100,,,,,Rabiusa,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751180,181210
101450,Lunschania,Lunschania,L,"St. Martin, Lunschania",Graubünden,im Normalbetrieb,T,,0.4,0.94,0.94,0.94,0.94,0.46,1.55,2.01,2.01,0,0,0,0,0,0,1996,1996,1042.67,100,Graubünden,100,,,,,Ronggtobelbach,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733900,169150
